EMP_mean,EMP_std,PRG_mean,PRG_std,RND_mean,RND_std
0.41233799999999976,0.12105928694652053,0.48543399999999987,0.1297618743853525,0.49585199999999985,0.1275911897271908
0.113464,0.06817563717340674,0.12187399999999997,0.07529110255534846,0.11097799999999998,0.07101052820533021
0.05641999999999997,0.03092170111749999,0.054902,0.03317627459495717,0.057234000000000035,0.03464582000761419
0.03424199999999998,0.015253361465591775,0.034904000000000004,0.015904954699715427,0.035980000000000005,0.01960835536193691
0.025422000000000004,0.010665041772070094,0.026386000000000003,0.012154316270362559,0.025964,0.010702761512805936
0.020264,0.007871969512136081,0.020870000000000003,0.00964333448553974,0.02086400000000001,0.007443594830456585
0.016950000000000007,0.00563229083055909,0.017187999999999995,0.007816230293434296,0.017311999999999998,0.00593291294390875
0.014908,0.004697354148879985,0.014826,0.0054819452751737685,0.014964000000000002,0.005005227667149617
0.013071999999999995,0.004132555625759924,0.012844000000000005,0.004175890803170026,0.012728000000000001,0.004147241975096219
0.011466,0.003141089619861235,0.011333999999999995,0.0035045176558265484,0.011109999999999998,0.003357782006027193
